A B C D A
A D C B A
B A D C B
B C D A B
C B A D C
C D A B C
D C B A D
D A B C D
A B D C E A
A B E C D A
A D C B E A
A D C E B A
A D B C E A
A E C D B A
A E C B D A
A E B C D A
B A D C E B
B A E C D B
B C D A E B
B C E A D B
B D C E A B
B D A E C B
B E C D A B
B E A D C B
C B D A E C
C B E A D C
C D A B E C
C D A E B C
C D B A E C
C E A D B C
C E A B D C
C E B A D C
D B C E A D
D B A E C D
D C B E A D
D C E A B D
D C E B A D
D A B E C D
D A E B C D
D A E C B D
E B C D A E
E B A D C E
E C B D A E
E C D B A E
E C D A B E
E A D C B E
E A D B C E
E A B D C E
A B C D F E A
A B C E F D A
A B D C F E A
A B D F C E A
A B E C F D A
A B E F C D A
A D C F E B A
A D B C F E A
A D F E C B A
A D F C E B A
A D F C B E A
A E C F D B A
A E B C F D A
A E F D C B A
A E F C B D A
A E F C D B A
B A D C F E B
B A D F E C B
B A D F C E B
B A E C F D B
B A E F C D B
B A E F D C B
B C D F E A B
B C E F D A B
B C F D A E B
B C F E A D B
B D C F E A B
B D A E F C B
B D F C E A B
B E C F D A B
B E A D F C B
B E F C D A B
C B A D F E C
C B A E F D C
C B D A E F C
C B E A D F C
C D A B E F C
C D B A E F C
C D F E A B C
C E A B D F C
C E B A D F C
C E F D A B C
C F D A E B C
C F D A B E C
C F D B A E C
C F E A D B C
C F E A B D C
C F E B A D C
D B C F E A D
D B A E C F D
D B A E F C D
D C B A E F D
D C F E A B D
D C F E B A D
D A B C E F D
D A B E C F D
D A B E F C D
D A E B C F D
D A E F C B D
D F C E A B D
D F C E B A D
D F C B E A D
D F E A B C D
D F E C B A D
E B C F D A E
E B A D C F E
E B A D F C E
E C B A D F E
E C F D A B E
E C F D B A E
E A D B C F E
E A D F C B E
E A B D C F E
E A B D F C E
E A B C D F E
E F C D A B E
E F C D B A E
E F C B D A E
E F D C B A E
E F D A B C E
F C B D A E F
F C B E A D F
F C D B A E F
F C D A B E F
F C E B A D F
F C E A B D F
F D C B A E F
F D B A E C F
F D A B E C F
F D A B C E F
F D A E B C F
F E C B A D F
F E B A D C F
F E A D B C F
F E A B D C F
F E A B C D F
